,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
433,Lagoa,PT,37.14,-8.45,54.39,76,0,8.05
434,Southbridge,NZ,-43.81,172.25,63.55,82,0,14.99
435,Turkmenabat,TM,39.09,63.58,50,81,0,4.7
436,Beringovskiy,RU,63.05,179.32,32.35,94,92,25.1
437,Curuca,BR,-2.52,-61.06,88.87,64,12,5.97
438,Tigil,RU,57.8,158.67,6.79,76,88,12.24
439,Sinnamary,GF,5.38,-52.96,81.18,87,44,10.78
440,Chara,RU,56.9,118.26,-0.1,64,48,1.61
441,Wau,PG,-7.34,146.72,69.84,100,24,1.39
442,Ewo,CG,-0.88,14.81,74.2,89,12,4.41
443,Malanje,AO,-9.54,16.35,68.31,93,48,2.39
444,Marion,US,38.35,-97.02,9.84,55,1,16.93
445,Gora,PL,51.67,16.53,49.14,71,0,12.75
446,Fort Nelson,CA,58.81,-122.69,15.8,40,5,3.4
447,Trat,TH,12.25,102.51,79.69,100,88,8.99
448,Nhulunbuy,AU,-12.18,136.78,77,94,100,8.88
449,Veraval,IN,20.9,70.37,70.6,93,12,9.22
450,Mongoumba,CF,3.64,18.59,71.19,100,36,2.73
451,Kabo,CF,7.69,18.62,85.41,34,64,6.76
452,Dire Dawa,ET,9.59,41.86,60.66,84,44,2.06
453,Homer,US,59.64,-151.54,35.76,74,90,4.7
454,Charters Towers,AU,-20.07,146.27,66.64,91,32,9.89
455,Rocha,UY,-34.48,-54.34,77.62,41,0,7.43
456,Chifeng,CN,42.27,118.96,22.14,79,0,2.95
457,Inongo,CD,-1.93,18.29,75.46,96,56,2.17
458,Jiuquan,CN,39.73,98.49,6.61,42,0,3.18
459,Solvychegodsk,RU,61.33,46.92,-1.04,76,0,5.41
460,Muhos,FI,64.81,26,-7.61,83,0,4.7
461,Adrar,DZ,27.87,-0.29,64.4,15,0,5.82
462,Manado,ID,1.49,124.85,69.8,100,20,1.16
463,Richards Bay,ZA,-28.77,32.06,69.52,97,80,3.51
464,Damaturu,NG,11.75,11.96,84.37,29,32,9.44
465,Morros,BR,-2.87,-44.04,78.8,88,75,9.17
466,Tezu,IN,27.93,96.16,48.24,99,92,1.83
467,Waingapu,ID,-9.65,120.26,71.64,99,48,2.62
468,Bacuyangan,PH,9.63,122.47,77.13,99,12,1.61
469,Labuhan,ID,-2.54,115.51,70.87,95,8,1.16
470,San Eduardo,CO,7.91,-72.49,87.8,52,40,9.17
471,Usinsk,RU,66,57.56,-7.25,59,8,9.1
472,Ellisras,ZA,-23.67,27.74,78.84,56,32,13.02
473,Straumen,NO,63.87,11.3,29.88,74,75,13.87
474,Nago,JP,26.59,127.98,64.87,72,75,13.87
475,Bronnoysund,NO,65.46,12.2,19.69,62,0,10.29
476,Young,AU,-34.31,148.3,59.94,82,12,2.73
477,Talcahuano,CL,-36.72,-73.12,64.4,68,0,17.22
478,Toguchin,RU,55.24,84.4,29.47,92,76,13.47
479,Sinfra,CI,6.62,-5.91,75.2,47,0,2.17
480,Inhambane,MZ,-23.87,35.38,80.32,92,76,9.22
481,Kodinsk,RU,58.6,99.18,4.41,60,0,3.18
482,Aksay,KZ,51.17,53.01,9.99,80,8,11.56
483,Coari,BR,-4.09,-63.14,88.15,66,20,5.19
484,Bichura,RU,50.59,107.6,10.08,61,0,2.39
485,Paita,PE,-5.09,-81.11,62.6,290,0,11.41
486,Carutapera,BR,-1.2,-46.02,73.89,100,92,5.3
487,Gaya,IN,24.8,85.01,57.2,87,75,5.41
488,Hamilton,BM,32.3,-64.78,68.92,88,75,3.36
489,Belyy Yar,RU,53.6,91.39,28.4,92,88,2.24
490,Kathu,TH,7.91,98.33,77,88,20,6.42
491,Grootfontein,NA,-19.56,18.1,75.1,62,64,3.4
492,Pacific Grove,US,36.62,-121.92,55.49,100,90,12.75
493,Townsville,AU,-19.26,146.82,77,65,40,9.17
494,Flinders,AU,-34.58,150.85,75.29,72,8,7
495,Vikhorevka,RU,56.12,101.17,6.37,84,0,4.47
496,Muscat,OM,23.6,58.55,68,52,0,4.7
497,Buala,SB,-8.15,159.59,82.48,88,0,3.29
498,Venancio Aires,BR,-29.61,-52.19,79.66,72,0,1.99
499,Bossangoa,CF,6.5,17.45,71.05,90,88,5.97
500,Kimbe,PG,-5.56,150.15,77.8,100,76,3.62
501,Lubao,CD,-5.39,25.75,70.74,94,56,3.74
502,Velyka Bahachka,UA,49.79,33.72,27.36,82,44,13.8
503,Shaowu,CN,27.34,117.49,31.99,89,0,2.06
504,Staryy Merchyk,UA,49.98,35.76,30.2,68,0,13.42
505,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,10.4,55,56,4.47
506,Bahia Blanca,AR,-38.72,-62.27,82.44,50,80,17.83
507,Arlit,NE,18.74,7.39,63.63,28,0,4.41
508,San Vicente,CL,-34.08,-71.74,60.8,77,75,8.05
509,Jiexiu,CN,37.02,111.92,27.36,91,0,3.51
510,Nordborg,DK,55.06,9.75,48.81,93,92,12.75
511,Vung Tau,VN,10.35,107.08,76.18,100,0,7.99
512,Luangwa,ZM,-12.88,28.25,75.01,46,92,3.74
513,Prabumulih,ID,-3.5,104.19,76.45,87,92,3.18
514,Coquimbo,CL,-29.95,-71.34,66.2,72,20,12.75
515,Bejar,ES,40.39,-5.76,44.26,65,0,5.82
516,Eureka,US,40.8,-124.16,55.44,82,75,10.29
517,Maragogi,BR,-9.01,-35.22,79.83,86,76,10.67
518,Manaus,BR,-3.13,-59.98,84.2,70,20,4.7
519,Tazovskiy,RU,67.47,78.7,4.72,85,80,19.06
520,Gao,ML,16.28,-0.04,66.19,29,0,7.76
521,Tapes,BR,-30.67,-51.4,78.39,62,8,10.11
522,Kropotkin,RU,45.43,40.58,34,92,0,5.75
523,Vao,NC,-22.67,167.48,78.61,97,92,16.71
524,Kathmandu,NP,27.71,85.32,46.4,93,20,3.36
525,Barka Kana,IN,23.62,85.48,56.74,97,8,2.95
526,Thinadhoo,MV,0.53,72.93,83.56,99,68,14.14
527,Puerto Escondido,MX,15.86,-97.07,84.2,70,20,11.41
528,Marsa Matruh,EG,31.35,27.25,59,77,40,8.05
529,Opotiki,NZ,-38.01,177.29,73,60,0,1.01
530,Millport,GB,55.75,-4.92,39.56,93,92,8.05
531,Kalofer,BG,42.61,24.97,36.68,80,75,4.7
532,Santa Rosa,BO,-20.7,-64.83,72.58,44,20,2.39
533,Havoysund,NO,71,24.66,23.02,85,75,28.86
534,Yantal,RU,56.85,105.25,2.43,63,0,2.39
535,Jambi,ID,-1.6,103.62,74.74,94,76,2.95
536,Port Moresby,PG,-9.47,147.16,75.2,94,40,3.36
537,Kenitra,MA,34.26,-6.57,54.09,87,40,2.24
538,Ercis,TR,39.03,43.36,33.89,99,75,3.36
539,Novopavlovka,RU,51.21,109.22,6.03,65,0,2.39
540,Kenai,US,60.55,-151.26,32.27,80,90,10.29
541,Abu Kamal,SY,34.45,40.92,53.77,50,32,10.78
542,Rio Cuarto,AR,-33.13,-64.35,84.2,54,20,27.51
543,Kutum,SD,14.2,24.66,61.06,32,0,8.55
544,Chyhyryn,UA,49.08,32.67,32.31,65,12,16.37
545,Muros,ES,42.77,-9.06,54.34,81,40,19.46
546,Comendador,DO,18.88,-71.7,82.03,44,20,2.39
